config_id,question
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Who can be a Bank Sakhi ?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,"Who are the members of the appraisal committee, and how does the committee work to recommend VGF?"
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,CMTC ke fayde?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What is the appraisal process of VGF?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What implementation mechanisms need to be in place for a Model CLF?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Who are the suggested members of the CBRM committee?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Clf vo ko apna mamber bnate smy kon kon se fee le skta hai
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,RF kya hota hai
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What is the eligibility required for CLF Manager?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,PAR कैसे कैलकुलेट करते हैं?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,VO ke OBs ka chunv kese kiya jata hai?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Aap hume ye btaye ki meeting kis tarah se karni chahiye
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Shg k members group enterprises me kon kon sa kam kr skte hai
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,"SHG साइकिल की संभावित प्रगति क्या है, साथ ही समयरेखा?"
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,किया ICRP किसी पॉलिटिकल पार्टी में रह कर या पंचायत का प्रतिनिधि होकर ICRP का कार्य कर सकते है
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,सीबीओ की वैधानिक लेखापरीक्षा का उद्देश्य क्या है?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,SHG ke 10 sutr
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,एक मॉडल CLF के लिए कौन से कार्यान्वयन तंत्र स्थापित किए जाने चाहिए?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What is the process for promoting Producer Groups?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,CBO के वैधानिक ऑडिट की प्रक्रिया क्या है?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What are the key objectives of the IFC?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What is the nature of expenditure for VGF?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Individual enterprise me kon kon sa lone lekr didi kam kr skti hI
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,Vo me judne k kitne time bad group ko CIf mil skta hai or kyse
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,एसएचजी में क्रेडिट लिंकेज प्रक्रिया क्या है?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What is the timeline for statutory audit of CBO?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,What are the mandatory criteria for CLF to develop the Model Cluster Level Federation?
1076d82b-3fd5-42c4-a7ea-bf17e4f3a7fd,"Defined Roles, Responsibilities and Portfolios of Sub-committees"
0b558ecb-1cd1-4eb7-9714-a3036e0da908,"Our Soliga community and family have been doing agriculture for 20 years. Earlier we cultivated agricultural crops, now we are cultivating Coffee and Black Pepper."
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the organic manures we can use?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Which are locally available manures?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to make local compost?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to use the locally available green leaves?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to use the weeds for compost?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What types of NTFPs (Non-Timber Forest Products) are available?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What biodiversity is found in the forest areas?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What is the relationship between the community and the forest?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the traditional conservation methods?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Please mention types of medicinal plants.
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the current market prices?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Where can we sell our coffee?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What is the price of NTFPs?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to improve the coffee yield?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to control the diseases of coffee and black pepper?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,"In earlier times, how was farmyard manure traditionally used to grow finger millet (ragi)?"
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to understand soil quality?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,"When the climate changes, how should crops be taken care of?"
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to manage crops on barren land?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the steps to grow seasonal crops on barren land?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Steps to grow crops according to seasons?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Traditional crops are reducing and commercial crops increasing. How can we encourage people to return to traditional crops?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Bitter Sundre forest plant seeds help relieve toothache. True?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to control salinity (salt issues) in Amla (gooseberry) trees?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,"How to control increased lantana growth in forests, which affects wild animals and forest produce collection?"
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What measures can be taken to conserve wildlife?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,"When minor forest produce is decreasing, how can we improve production and collection?"
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What should be the roles of forest dwellers and the Forest Department in forest conservation?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Coffee Board and Forest Development Corporation
0b558ecb-1cd1-4eb7-9714-a3036e0da908,"When the quality of a product decreases, how should its price be fixed?"
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How are product prices determined?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to establish a small enterprise for selling our products?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the methods to get financial support for starting a business?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the methods for value addition of products?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Can coffee be grown in black soil?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Which crops can be grown in which types of soil?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What types of grass do cows eat in the forest?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What kinds of fruits are available to eat in the forest?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Where can I sell honey to earn good profit?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,"Where can we sell crops like ragi, maize, and foxtail millet for better profit?"
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Coffee heg beliobdu
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Lantana gida hege belobodu
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Honey marketing process
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Without fertilizer how to use?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the uses of traditional medicine leaves and plants?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to use your traditional medicine methods? Which forest?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to do sales of finger millet? How much rupees for 1 kg or 50 kg finger millet?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to protect your crops and NTFPs?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to grow traditional medicinal plants? Which forest?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to sell finger millet? How much is the price for 1 kg or 50 kg finger millet or other crops?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Which local crops grow well in our region?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the traditional seed preservation methods used by our tribal communities?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Which crops are suitable for rain-fed agriculture?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can we combine traditional farming practices with new technology to increase production?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How should we practice crop rotation?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to practice eco-friendly farming?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,"What measures help increase the production of traditional grains like jowar, foxtail millet, and ragi?"
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Which local crops can be grown in drought-prone areas?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,"Which local crops can be grown in drought-prone areas? (duplicate question, different answer text)"
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can AI systems help identify forest resources?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can AI be used to protect biodiversity?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can AI support the sustainable use of forest resources?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How does climate change impact forests and biodiversity?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can traditional knowledge of indigenous communities be integrated with AI?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What is biodiversity and why is it important?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Which animals and plants are unique to our region?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What community efforts are needed to protect biodiversity?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can we balance the proper use of forest resources and the conservation of biodiversity?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How do indigenous traditions support biodiversity conservation?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can forest products be value-added and marketed?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How does deforestation affect our environment?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Which local products can be brought to the national market and sold?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can we sell our products on online platforms like Amazon and Flipkart?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What training programs are available to learn new technologies in product manufacturing?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can we encourage youth in our community to participate in product sales?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can we create a brand name for our indigenous product using AI?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What types of content can be used to promote products on social media?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can we explain the cultural background of our products to people?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can AI analysis identify which product gives more profit?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can we get information about government or private grants/subsidies?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can we create employment opportunities for women and youth through our products?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,"AI can help our tribal community in all areas such as agriculture, economy, environment, education, health, culture and social services through guidance, prevention, promotion and digital tools."
0b558ecb-1cd1-4eb7-9714-a3036e0da908,"AI can help our tribal community in all areas such as agriculture, economy, environment, education, health, culture and social services through guidance, prevention, promotion and digital tools."
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to grow crops in shortest time?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to grow crops using less water?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to group 3 types of crops in 1 year?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Which crop is suitable during summer?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Which crop should be grown in hilly areas?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,Which plant is safest
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the uses of which leaves?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How safe is it and how to use it?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How much is the use of single leaf?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to discover new medicine?
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How safely can I sell my coffee beans
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to sell my coffee beans in the market
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How to make the most of the market
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the benefits of market
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can I get the premium price for my produce such as coffee and blackpepper
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can I cultivate honey in my 2 acre land or coffee farm
0b558ecb-1cd1-4eb7-9714-a3036e0da908,What are the wild varity or local variety pulses suitable to grow in cofee plantation
0b558ecb-1cd1-4eb7-9714-a3036e0da908,How can we collect the wild and edible tubers from forset in sustainable way
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,What is the summary of the story - “rama to the rescue”
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,What did the raven say to the fox
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,How did the man and his wife get help from kotwal
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,How did Surya’s attitude differ from Prabhat’s?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,How did Prabhat’s attitude towards winning and losing affect his enjoyment of games in the beginning?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,How do we know that natural cures are passed from one generation to another?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,How did the mahout come to know that gajaraj was sad
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,What is a map? Why are maps important?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,What are the different types of resources? Give examples.
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,Explain the importance of the Constitution.
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,What is the difference between weather and climate?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,12. Describe the features of the Indian monsoon.
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,13. What are the main features of a village?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,14. How do rivers benefit us?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,15. What is urbanization? Why does it occur?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,16. List the main types of industries in India.
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,17. What role do forests play in the environment?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,18. What are the different types of habitats?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,19. How do plants adapt to their environment?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,20. What is the food chain?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,21. What are the main functions of the digestive system?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,22. What are the properties of magnets?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,23. How do humans affect the environment?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,24. What is the structure of a plant?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,25. What is the significance of the Earth’s rotation and revolution?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,26.What are the different forms of energy?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,27. What is the importance of conserving natural resources?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,28. मोहन की दवा पर कुल कितने रुपए खर्च हुए थे ?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,29. दीनानाथ ने मोहन का स्वभाव कैसा बताया?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,कविता “झांसी की रानी” के रचयिता कौन है?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,. लक्ष्मीबाई के पिता की कितनी संताने थी?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,लेफ्टिनेंट वॉकर और रानी में हुई लड़ाई का सारांश लिखिए?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,.लड़की माँ का हाथ क्यों नहीं छोड़ना चाहती है?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,16.कवि सुमित्रानंदन पंत का जीवन परिचय लिखिए।
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,4. पाठ में भारत के किस राज्य की बात खासतौर पर की गई है?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,11. खपच्चियों की रंगाई के लिए किन चीजों का उपयोग होता है ?
5d1a7a92-a6c4-4539-8267-45fb7aaa692f,16. खपच्चियाँ चीरने के लिए उस्ताद होने की क्यो जरूरत है ?